name,short_description,description,pictures
Dystopian,Doomy-gloomy,"Most authors of dystopian fiction explore at least one reason why things are contrary to the author's ethos, often as an analogy for similar issues in the real world. Dystopian literature is used to ""provide fresh perspectives on problematic social and political practices that might otherwise be taken for granted or considered natural and inevitable"".",resources/categories/Dystopian.jpg
Fantasy,"We wants it, we needs it. Must have the precious.","Fantasy literature is literature set in an imaginary universe, often but not always without any locations, events, or people from the real world. Magic, the supernatural and magical creatures are common in many of these imaginary worlds. Fantasy is a subgenre of speculative fiction and is distinguished from the genres of science fiction and horror by the absence of scientific or macabre themes, respectively, though these genres overlap. Historically, most works of fantasy were written, however, since the 1960s, a growing segment of the fantasy genre has taken the form of films, television programs, graphic novels, video games, music and art.",resources/categories/Fantasy.jpg
Poetry,Rhyme-thyme,"Poetry (the term derives from a variant of the Greek term, poiesis, ""making"") is a form of literature that uses aesthetic and rhythmic qualities of language to evoke meanings in addition to, or in place of, the prosaic ostensible meaning.",resources/categories/Poetry.jpg
Romance,Lovey-dovey,"Novels of this type of genre fiction place their primary focus on the relationship and romantic love between two people, and must have an ""emotionally satisfying and optimistic ending.""",resources/categories/Romance.jpeg
Sci-Fi,"Outer space, robots and aliens.","Science fiction is a genre of speculative fiction, typically dealing with imaginative concepts such as advanced science and technology, spaceflight, time travel, and aliens. Science fiction often explores the potential consequences of different innovations, and has been called a ""literature of ideas"".",resources/categories/Scifi.jpg
Mystery,Spooky-Ooky,"Mystery fiction is a genre of fiction usually involving a mysterious death or a crime to be solved. Often with a closed circle of suspects, each suspect is usually provided with a credible motive and a reasonable opportunity for committing the crime.",resources/categories/Mystery.jpg
